,junct,Unnamed: 0,y,x,1517_masked,1517_all,seward2_hsp_elev,seward_hsp__dinf_area,slope_15m,aspect_15m,1519_all,1519_masked,aspect_40m,seward_hsp__tan_curv_LW,slope_40m,Outlet Elev,1519_all_zscore,1519_masked_zscore,1517_all_zscore,1517_masked_zscore,Area,area_km2,max_disp_zone
107,1918,67945860.96831155,7219596.092256423,444594.6583186862,0.001115484033738,0.001115484033738,270.2577585634151,1813.664456899197,0.165423947642377,284.31488234505167,0.002091554673676,0.002091554673676,286.94767137904296,0.000180646120797,0.160983049819639,45.383472,-0.659129520954463,-0.691547415396878,-0.371278564730931,-0.372319304520316,994684.0,0.994684,hillslopes
108,2305,71685980.75100616,7218979.206207541,443857.1089118406,0.002208995199664,0.002208995199664,213.81192096919466,900.8080158479079,0.15570648243474,281.42163779672757,0.004822435155391,0.004822435155391,283.752063156777,-7.2575186601e-05,0.154860794077354,52.230827,-0.401876912083245,-0.426038106743911,-0.266197947436243,-0.266223861541838,293196.0,0.293196,indeterminate
109,2424,73644852.84314328,7218656.164816438,444078.3432872015,-0.000373389048737,-0.000373389048737,251.25450882402993,1770.7704154451883,0.15951365764147,266.5656095891726,0.000568011437507,0.000568011437507,266.37869534676554,9.1368243816e-05,0.155110475486572,68.29943,-0.774212491607872,-0.806124626560616,-0.390427283166851,-0.393639517884074,610600.0,0.6106,indeterminate
110,2741,80238793.22891307,7217568.696144012,444226.52431004157,0.001709309345513,0.001709309345513,218.75609207028643,1980.5461616175796,0.140604862334016,225.83781365399685,0.003649057098567,0.003649057098567,225.54303525807433,2.7284931371e-05,0.138641077741238,79.26446,-0.475697803279688,-0.506741550564214,-0.241244157405191,-0.243200273743905,1186116.0,1.186116,indeterminate
111,2378,73415719.09866701,7218692.999224799,432501.724521349,0.008425176241561,0.008425176241561,260.1011295987977,3070.329936918551,0.145946222344812,125.70230776022609,0.012187889398581,0.012187889398581,126.00806492567303,-0.000224319489525,0.142885213026366,177.47777,-0.452923521856646,-0.464665067666752,-0.536847403930347,-0.535037749789846,122432.0,0.122432,watertracks
112,2373,72121234.01490407,7218906.81248182,436444.9248883181,0.013512252282142,0.013512252282142,198.00006524198946,1498.6086761207978,0.060402915596499,104.8298391531046,0.015210690703982,0.015733157486479,103.92474085659836,0.000112664863672,0.058230287237592,140.38991,-0.153906566515569,-0.085397159906106,-0.068227865311139,-0.053200815350868,495972.0,0.495972,watertracks
113,1389,62173502.03962263,7220548.369220454,448139.5437384348,0.01117677130669,0.01117677130669,154.7046917330937,3721.030725456002,0.106889952178876,233.6885687551025,0.012237692038136,0.012237692038136,236.73370296031058,-1.6096017977e-05,0.104398618885194,22.366745,0.178596281393773,0.158219785238732,0.521661587682361,0.527647587123766,1945252.0,1.945252,watertracks
114,1559,63309375.39270377,7220361.163777824,449645.8471331279,0.016781271924751,0.016781271924751,171.9690740649916,3326.6400562729805,0.121672769331472,139.02961720902405,0.013109341300503,0.013109341300503,136.92486336385198,-2.6167583823e-05,0.120284138881372,53.65756,0.110372082583714,0.070564673054289,0.743073417426212,0.77128986019473,5261788.0,5.261788,watertracks
115,2488,74521476.80255446,7218510.7243630495,433569.8838638045,0.004593374024905,0.004593374024905,185.342522145919,864.071276576813,0.039362991357327,292.7205024393706,0.010050377405976,0.010157442422426,322.4672620798705,-7.0328968624e-05,0.037861015139052,173.31898,0.077870794286398,0.072679611066578,-0.235524820374637,-0.235483230090669,91448.0,0.091448,indeterminate
116,2684,81492243.6068642,7217362.280590614,447925.8641659228,0.001754605213131,0.001754605213131,248.59113022244586,3250.489168296367,0.125662844874672,262.3405013823848,0.007069318660277,0.007069318660277,264.283307758155,-9.421331612e-06,0.124227762517772,123.85547,-0.072651201240895,-0.094107660145423,-0.307084538536821,-0.308795151101028,2382796.0,2.382796,indeterminate
117,2630,76700429.52395111,7218152.20441394,443703.90381042345,-0.000619495600278,-0.000619495600278,194.21341808528797,1479.4197324881345,0.171493757882887,265.8277888905407,0.001092064745817,0.001092064745817,265.38690196178834,2.15445956e-05,0.168869642926495,70.39612,-0.681972789718958,-0.708274989166163,-0.371290312266986,-0.374928331657956,145296.0,0.145296,indeterminate
