,dInf_min,dInf_max,dInf_mean,dInf_count,slope_min,slope_max,slope_mean,slope_count,area (m2),bin_dinf,bin_slope
398,593.0,614.0,603.5,2,13.897117614746094,13.897117614746094,13.897117614746094,1,0.007175152478469572,23,14
399,66.0,71.0,68.5,2,14.879803657531738,14.879803657531738,14.879803657531738,1,0.07992726277221439,11,17
400,137.0,137.0,137.0,1,16.37010955810547,16.37010955810547,16.37010955810547,1,0.04038391436477353,14,20
401,96.0,137.0,116.5,2,16.37010955810547,16.37010955810547,16.37010955810547,1,0.05811303341136885,14,20
402,383.0,534.0,458.2,5,17.410015106201172,17.410015106201172,17.410015106201172,1,1.4014667543438277,22,22
403,534.0,699.0,616.5,2,17.410015106201172,17.410015106201172,17.410015106201172,1,0.08596940018189932,23,22
404,655.0,739.0,697.0,2,17.410015106201172,17.410015106201172,17.410015106201172,1,0.9369450641175159,24,22
405,855.0,1139.0,991.6666666666666,6,17.410015106201172,18.304460525512695,17.85723876953125,2,6.182671300029375,26,24
406,999.0,1091.0,1045.0,2,13.776089668273926,17.410015106201172,15.59305191040039,2,0.2548917285863721,26,22
407,382.0,566.0,474.0,2,17.410015106201172,17.410015106201172,17.410015106201172,1,0.2213279812678589,22,22
408,1091.0,1091.0,1091.0,1,13.776089668273926,13.776089668273926,13.776089668273926,1,0.17626485946713208,26,14
409,1560.0,1674.0,1617.0,2,14.30532169342041,14.30532169342041,14.30532169342041,1,0.2526109839377162,28,15
410,1558.0,1674.0,1597.3333333333333,3,14.30532169342041,18.304460525512695,16.30489158630371,2,0.30667201521125015,28,24
411,1558.0,1558.0,1558.0,1,18.304460525512695,18.304460525512695,18.304460525512695,1,0.39993980074734,28,24
412,1363.0,1558.0,1427.75,4,18.304460525512695,18.304460525512695,18.304460525512695,1,2.3106455796544383,28,24
413,908.0,908.0,908.0,1,14.30532169342041,14.30532169342041,14.30532169342041,1,0.3972911936377935,25,15
414,1431.0,1431.0,1431.0,1,14.30532169342041,14.30532169342041,14.30532169342041,1,0.21979767442044135,28,15
415,1431.0,1431.0,1431.0,1,14.30532169342041,14.30532169342041,14.30532169342041,1,0.13456399813010242,28,15
416,994.0,1079.0,1036.5,2,14.30532169342041,14.30532169342041,14.30532169342041,1,0.11665646565663358,26,15
417,1821.0,1844.0,1832.5,2,14.30532169342041,14.30532169342041,14.30532169342041,1,0.15778346074355037,29,15
418,1740.0,1740.0,1740.0,1,14.30532169342041,14.30532169342041,14.30532169342041,1,0.20400350955649105,29,15
419,255.0,255.0,255.0,1,17.529308319091797,17.529308319091797,17.529308319091797,1,0.3023606702392016,18,22
420,113.0,215.0,157.0,3,19.0760440826416,19.0760440826416,19.0760440826416,1,0.37963380637534594,17,26
421,1786.0,2027.0,1942.3333333333333,3,19.01776123046875,19.01776123046875,19.01776123046875,1,0.6796916596537291,29,26
422,1903.0,2027.0,1977.6666666666667,3,18.299497604370117,19.01776123046875,18.65863037109375,2,1.5216546968830917,29,26
423,830.0,830.0,830.0,1,18.299497604370117,18.299497604370117,18.299497604370117,1,0.4370791710080625,24,24
424,830.0,1318.0,1074.0,2,18.299497604370117,18.299497604370117,18.299497604370117,1,0.1140961448542272,27,24
425,636.0,786.0,723.3333333333334,3,18.33405876159668,18.33405876159668,18.33405876159668,1,0.576925670277294,24,24
426,602.0,602.0,602.0,1,19.063068389892578,19.063068389892578,19.063068389892578,1,0.5377557022582367,23,26
427,602.0,602.0,602.0,1,19.063068389892578,19.063068389892578,19.063068389892578,1,0.17754501948931492,23,26
428,431.0,495.0,463.0,2,17.27293586730957,17.27293586730957,17.27293586730957,1,0.3523825745010559,22,22
429,371.0,546.0,458.5,2,17.65364646911621,17.65364646911621,17.65364646911621,1,0.6229820197306758,22,23
430,477.0,477.0,477.0,1,17.65364646911621,17.65364646911621,17.65364646911621,1,0.12878120420460326,21,23
431,445.0,587.0,516.0,2,17.65364646911621,17.65364646911621,17.65364646911621,1,0.15388412292571174,22,23
